STATENAME,VE_TOTAL,PEDS,PERSONS,DAYNAME,MONTHNAME,HOUR,DAY_WEEKNAME,RUR_URBNAME,HARM_EVNAME,LGT_CONDNAME,WEATHER1NAME,WEATHERNAME,FATALS,DRUNK_DR
Alabama,2,0,4,22,March,20,Friday,Rural,Motor Vehicle In-Transport,Dark - Not Lighted,Clear,Clear,1,1
Alabama,4,0,3,23,March,19,Saturday,Urban,Motor Vehicle In-Transport,Dark - Lighted,Clear,Clear,1,1
Alabama,1,0,2,23,March,7,Saturday,Rural,Culvert,Daylight,Clear,Clear,1,0
Alabama,1,0,1,23,March,14,Saturday,Rural,Traffic Sign Support,Daylight,Clear,Clear,1,0
Alabama,1,0,1,23,March,0,Saturday,Urban,Embankment,Dark - Lighted,Clear,Clear,1,0
Alabama,1,0,1,24,March,17,Sunday,Rural,Tree (Standing Only),Daylight,Clear,Clear,1,0
Alabama,3,0,4,24,March,14,Sunday,Urban,Motor Vehicle In-Transport,Daylight,Clear,Clear,1,0
Alabama,2,0,2,25,March,0,Monday,Urban,Motor Vehicle In-Transport,Dark - Lighted,Clear,Clear,1,1
Alabama,1,0,1,25,March,0,Monday,Rural,Fence,Dark - Not Lighted,Cloudy,Cloudy,1,1
Alabama,1,0,2,28,March,7,Thursday,Urban,Tree (Standing Only),Daylight,Clear,Clear,1,0
Alabama,1,0,1,28,March,10,Thursday,Rural,Tree (Standing Only),Daylight,Clear,Clear,1,0
Alabama,1,1,1,28,March,22,Thursday,Urban,Pedestrian,Dark - Not Lighted,Clear,Clear,1,0
Alabama,2,1,6,28,March,8,Thursday,Rural,Motor Vehicle In-Transport,Daylight,Clear,Clear,1,0
Alabama,1,0,1,29,March,99,Friday,Urban,Embankment,Dark - Not Lighted,Clear,Clear,1,0
Alabama,1,0,1,29,March,9,Friday,Rural,Embankment,Daylight,Cloudy,Cloudy,1,0
Alabama,1,0,4,29,March,14,Friday,Urban,Utility Pole/Light Support,Daylight,Clear,Clear,1,1
Alabama,2,0,2,29,March,15,Friday,Rural,Motor Vehicle In-Transport,Daylight,Clear,Clear,1,1
Alabama,1,0,1,29,March,14,Friday,Rural,Tree (Standing Only),Daylight,Clear,Clear,1,0
Alabama,1,0,1,29,March,3,Friday,Rural,Utility Pole/Light Support,Dark - Not Lighted,Clear,Clear,1,0
Alabama,2,0,5,30,March,7,Saturday,Rural,Motor Vehicle In-Transport,Daylight,Cloudy,Cloudy,2,0
Alabama,2,0,4,30,March,19,Saturday,Urban,Motor Vehicle In-Transport,Dark - Not Lighted,Rain,Rain,1,1
Alabama,2,0,1,31,March,0,Sunday,Rural,Traffic Sign Support,Dark - Not Lighted,Clear,Clear,1,1
Alabama,1,0,1,31,March,8,Sunday,Rural,Tree (Standing Only),Daylight,Cloudy,Cloudy,1,0
Alabama,2,0,3,5,April,23,Friday,Urban,Motor Vehicle In-Transport,Dark - Lighted,Cloudy,Cloudy,1,1
Alabama,1,0,1,2,April,6,Tuesday,Rural,Culvert,Dark - Not Lighted,Cloudy,Cloudy,1,0
Alabama,1,0,3,3,April,14,Wednesday,Urban,Rollover/Overturn,Daylight,Clear,Clear,1,0
Alabama,3,0,7,3,April,21,Wednesday,Urban,Motor Vehicle In-Transport,Dark - Lighted,Clear,Clear,1,0
Alabama,1,0,2,3,April,14,Wednesday,Rural,Bridge Rail (Includes parapet),Daylight,Clear,Clear,1,0
Alabama,1,0,1,4,April,2,Thursday,Urban,Rollover/Overturn,Dark - Lighted,Clear,Clear,1,1
Alabama,1,0,1,4,April,7,Thursday,Urban,Ditch,Daylight,Clear,Clear,1,0
Alabama,1,1,1,7,April,0,Sunday,Urban,Pedestrian,Dark - Not Lighted,Rain,Rain,1,0
Alabama,1,0,1,7,April,14,Sunday,Rural,Tree (Standing Only),Daylight,Clear,Clear,1,0
Alabama,1,0,1,8,April,0,Monday,Urban,Tree (Standing Only),Dark - Lighted,Rain,Rain,1,1
Alabama,1,0,1,9,April,14,Tuesday,Rural,Tree (Standing Only),Daylight,Clear,Clear,1,0
Alabama,2,0,3,9,April,3,Tuesday,Urban,Motor Vehicle In-Transport,Dark - Lighted,Rain,Rain,1,0
Alabama,1,0,1,9,April,23,Tuesday,Urban,Bridge Pier or Support,Dark - Lighted,Clear,Clear,1,1
Alabama,1,0,2,9,April,17,Tuesday,Urban,Building,Daylight,Clear,Clear,1,0
Alabama,1,1,1,10,April,1,Wednesday,Urban,Pedestrian,Dark - Lighted,Clear,Clear,1,0
Alabama,1,0,1,10,April,5,Wednesday,Urban,Ditch,Dark - Not Lighted,Clear,Clear,1,0
Alabama,1,0,1,13,April,5,Saturday,Rural,Tree (Standing Only),Dark - Not Lighted,Cloudy,Cloudy,1,1
Alabama,3,0,6,11,May,17,Saturday,Urban,Motor Vehicle In-Transport,Daylight,Rain,Rain,2,0
Alabama,3,0,3,4,May,4,Saturday,Rural,Motor Vehicle In-Transport,Dark - Not Lighted,Rain,Rain,1,0
Alabama,2,1,2,4,May,23,Saturday,Rural,Pedestrian,Dark - Not Lighted,Rain,Rain,1,1
Alabama,2,0,2,1,May,13,Wednesday,Urban,Motor Vehicle In-Transport,Daylight,Clear,Clear,1,0
Alabama,1,1,1,30,April,5,Tuesday,Rural,Other Object (not fixed),Dark - Not Lighted,Clear,Clear,1,0
Alabama,1,0,1,25,April,21,Thursday,Urban,Tree (Standing Only),Dark - Not Lighted,Rain,Rain,1,0
Alabama,2,0,2,16,April,12,Tuesday,Rural,Motor Vehicle In-Transport,Daylight,Clear,Clear,1,0
Alabama,1,1,1,13,April,14,Saturday,Rural,Pedestrian,Daylight,Clear,Clear,1,0
Alabama,2,0,2,11,February,15,Monday,Urban,Motor Vehicle In-Transport,Daylight,Cloudy,Cloudy,1,0
Alabama,2,1,2,25,February,3,Monday,Urban,Pedestrian,Dark - Not Lighted,Cloudy,Cloudy,1,0
Alabama,1,0,1,25,February,8,Monday,Rural,Tree (Standing Only),Daylight,Clear,Clear,1,0
Alabama,1,1,1,24,March,3,Sunday,Rural,Pedestrian,Dark - Not Lighted,Clear,Clear,1,0
Alabama,1,0,1,3,April,21,Wednesday,Rural,Rollover/Overturn,Dark - Not Lighted,Clear,Clear,1,0
Alabama,1,0,2,5,April,22,Friday,Rural,Boulder,Dark - Not Lighted,Clear,Clear,1,0
Alabama,1,0,1,7,April,18,Sunday,Rural,Culvert,Daylight,Cloudy,Cloudy,1,1
Alabama,2,0,2,9,April,15,Tuesday,Rural,Rollover/Overturn,Daylight,Cloudy,Cloudy,1,0
Alabama,2,0,2,10,April,18,Wednesday,Rural,Rollover/Overturn,Daylight,Clear,Clear,1,0
Alabama,2,0,3,13,April,15,Saturday,Rural,Mail Box,Daylight,Cloudy,Cloudy,1,1
Alabama,2,0,2,14,April,3,Sunday,Rural,Motor Vehicle In-Transport,Dark - Not Lighted,Cloudy,Cloudy,1,1
Alabama,1,0,1,16,April,17,Tuesday,Rural,Culvert,Daylight,Clear,Clear,1,0
Alabama,1,1,1,16,April,19,Tuesday,Rural,Pedestrian,Dark - Not Lighted,Clear,Clear,1,0
Alabama,1,0,5,17,April,5,Wednesday,Rural,Rollover/Overturn,Dawn,Clear,Clear,1,1
Alabama,2,0,2,18,April,10,Thursday,Rural,Motor Vehicle In-Transport,Daylight,Clear,Clear,1,0
Alabama,1,0,2,18,April,15,Thursday,Rural,Ditch,Daylight,Clear,Clear,1,0
Alabama,2,0,2,20,April,17,Saturday,Rural,Motor Vehicle In-Transport,Daylight,Clear,Clear,1,0
Alabama,1,0,2,21,April,13,Sunday,Rural,Tree (Standing Only),Daylight,Clear,Clear,1,0
Alabama,2,0,2,21,April,20,Sunday,Urban,Motor Vehicle In-Transport,Dark - Lighted,Clear,Clear,1,0
Alabama,1,0,1,22,April,4,Monday,Urban,Live Animal,Dark - Not Lighted,Clear,Clear,1,0
Alabama,1,2,1,23,April,0,Tuesday,Urban,Pedestrian,Dark - Lighted,Cloudy,Cloudy,1,0
Alabama,2,0,2,23,April,14,Tuesday,Urban,Rollover/Overturn,Daylight,Clear,Clear,1,0
Alabama,3,0,3,24,April,10,Wednesday,Urban,Motor Vehicle In-Transport,Daylight,Clear,Clear,1,0
Alabama,2,0,2,25,April,6,Thursday,Rural,Motor Vehicle In-Transport,Dawn,Clear,Clear,1,0
Alabama,2,0,2,25,April,7,Thursday,Rural,Motor Vehicle In-Transport,Daylight,Clear,Clear,1,0
Alabama,1,0,2,26,April,19,Friday,Rural,Ditch,Dark - Not Lighted,Cloudy,Cloudy,1,0
Alabama,2,0,4,26,April,21,Friday,Urban,Motor Vehicle In-Transport,Dark - Lighted,Cloudy,Cloudy,1,1
Alabama,1,0,1,27,April,1,Saturday,Rural,Tree (Standing Only),Dark - Not Lighted,Clear,Clear,1,0
Alabama,1,0,1,27,April,5,Saturday,Rural,Tree (Standing Only),Dark - Not Lighted,Clear,Clear,1,1
Alabama,1,0,1,28,April,5,Sunday,Urban,Tree (Standing Only),Reported as Unknown,Clear,Clear,1,1
Alabama,1,0,1,28,April,16,Sunday,Urban,Ditch,Daylight,Clear,Clear,1,1
Alabama,2,0,4,28,April,16,Sunday,Urban,Guardrail Face,Daylight,Clear,Clear,1,1
Alabama,2,0,2,28,April,18,Sunday,Rural,Motor Vehicle In-Transport,Daylight,Clear,Clear,1,1
Alabama,1,0,1,28,April,22,Sunday,Urban,Tree (Standing Only),Dark - Lighted,Clear,Clear,1,0
Alabama,1,0,1,28,April,19,Sunday,Rural,Rollover/Overturn,Dark - Not Lighted,Clear,Clear,1,1
Alabama,1,0,1,30,April,23,Tuesday,Rural,Rollover/Overturn,Dark - Not Lighted,Clear,Clear,1,1
Alabama,2,0,3,1,May,15,Wednesday,Rural,Motor Vehicle In-Transport,Daylight,Cloudy,Cloudy,1,0
Alabama,2,0,3,1,May,11,Wednesday,Rural,Motor Vehicle In-Transport,Daylight,Clear,Clear,1,0
Alabama,1,1,1,2,May,21,Thursday,Urban,Pedestrian,Dark - Lighted,Clear,Clear,1,0
Alabama,1,0,2,2,May,17,Thursday,Rural,Rollover/Overturn,Daylight,Clear,Clear,1,0
Alabama,2,0,4,3,May,6,Friday,Urban,Motor Vehicle In-Transport,Daylight,Clear,Clear,1,0
Alabama,1,0,1,3,May,8,Friday,Urban,Utility Pole/Light Support,Daylight,Clear,Clear,1,0
Alabama,1,0,2,5,May,16,Sunday,Rural,Rollover/Overturn,Daylight,Clear,Clear,1,0
Alabama,3,0,3,6,May,10,Monday,Rural,Motor Vehicle In-Transport,Daylight,Clear,Clear,1,0
Alabama,1,0,1,7,May,6,Tuesday,Rural,Tree (Standing Only),Daylight,Clear,Clear,1,1
Alabama,1,1,1,7,May,7,Tuesday,Urban,Pedestrian,Daylight,Clear,Clear,1,0
Alabama,1,0,1,7,May,11,Tuesday,Rural,Rollover/Overturn,Daylight,Clear,Clear,1,1
Alabama,1,0,1,8,May,3,Wednesday,Rural,Mail Box,Dark - Not Lighted,Clear,Clear,1,0
